word,count
should,like,it,1
like,it,very,1
it,very,much,1
very,much,said,1
Alice,but,I,1
but,I,havent,1
I,havent,been,1
havent,been,invited,1
been,invited,yet,1
invited,yet,Youll,1
yet,Youll,see,1
Youll,see,me,1
see,me,there,1
me,there,said,1
there,said,the,1
and,vanished,Alice,1
vanished,Alice,was,1
was,not,much,1
not,much,surprised,1
much,surprised,at,1
surprised,at,this,1
at,this,she,1
this,she,was,1
she,was,getting,1
was,getting,so,1
getting,so,used,1
so,used,to,1
used,to,queer,1
to,queer,things,1
queer,things,happening,1
things,happening,While,1
happening,While,she,1
she,was,looking,1
at,the,place,1
place,where,it,1
where,it,had,1
had,been,it,1
been,it,suddenly,1
it,suddenly,appeared,1
suddenly,appeared,again,1
appeared,again,Bythebye,1
again,Bythebye,what,1
Bythebye,what,became,1
what,became,of,1
became,of,the,1
the,baby,said,1
baby,said,the,1
the,Cat,Id,1
Cat,Id,nearly,1
nearly,forgotten,to,1
forgotten,to,ask,1
to,ask,It,1
ask,It,turned,1
It,turned,into,1
turned,into,a,1
a,pig,Alice,1
pig,Alice,quietly,1
Alice,quietly,said,1
quietly,said,just,1
said,just,as,1
it,had,come,1
come,back,in,1
natural,way,I,1
way,I,thought,1
I,thought,it,1
it,would,said,1
would,said,the,1
and,vanished,again,1
vanished,again,Alice,1
again,Alice,waited,1
Alice,waited,a,1
waited,a,little,1
a,little,half,1
little,half,expecting,1
half,expecting,to,1
expecting,to,see,1
see,it,again,1
again,but,it,1
but,it,did,1
it,did,not,1
did,not,appear,1
not,appear,and,1
appear,and,after,1
after,a,minute,1
two,she,walked,1
she,walked,on,1
walked,on,in,1
the,direction,in,1
direction,in,which,1
in,which,the,1
which,the,March,1
March,Hare,was,1
Hare,was,said,1
was,said,to,1
said,to,live,1
to,live,Ive,1
live,Ive,seen,1
Ive,seen,hatters,1
seen,hatters,before,1
hatters,before,she,1
before,she,said,1
herself,the,March,1
March,Hare,will,1
Hare,will,be,1
will,be,much,1
be,much,the,1
much,the,most,1
the,most,interesting,1
most,interesting,and,1
interesting,and,perhaps,1
and,perhaps,as,1
perhaps,as,this,1
as,this,is,1
this,is,May,1
is,May,it,1
May,it,wont,1
it,wont,be,1
wont,be,raving,1
be,raving,madat,1
raving,madat,least,1
madat,least,not,1
least,not,so,1
not,so,mad,1
so,mad,as,1
mad,as,it,1
it,was,in,1
was,in,March,1
in,March,As,1
March,As,she,1
there,was,the,1
was,the,Cat,1
the,Cat,again,1
Cat,again,sitting,1
again,sitting,on,1
on,a,branch,1
a,branch,of,1
branch,of,a,1
a,tree,Did,1
tree,Did,you,1
you,say,pig,1
say,pig,or,1
pig,or,fig,1
or,fig,said,1
fig,said,the,1
Cat,I,said,1
I,said,pig,1
said,pig,replied,1
pig,replied,Alice,1
replied,Alice,and,1
Alice,and,I,1
and,I,wish,1
you,wouldnt,keep,1
wouldnt,keep,appearing,1
keep,appearing,and,1
appearing,and,vanishing,1
and,vanishing,so,1
vanishing,so,suddenly,1
so,suddenly,you,1
suddenly,you,make,1
you,make,one,1
make,one,quite,1
one,quite,giddy,1
quite,giddy,All,1
giddy,All,right,1
All,right,said,1
Cat,and,this,1
and,this,time,1
this,time,it,1
time,it,vanished,1
it,vanished,quite,1
vanished,quite,slowly,1
quite,slowly,beginning,1
slowly,beginning,with,1
beginning,with,the,1
with,the,end,1
of,the,tail,1
the,tail,and,1
tail,and,ending,1
and,ending,with,1
ending,with,the,1
with,the,grin,1
the,grin,which,1
grin,which,remained,1
which,remained,some,1
remained,some,time,1
some,time,after,1
time,after,the,1
after,the,rest,1
rest,of,it,1
of,it,had,1
it,had,gone,1
had,gone,Well,1
gone,Well,Ive,1
Well,Ive,often,1
often,seen,a,1
seen,a,cat,1
a,cat,without,1
cat,without,a,1
without,a,grin,1
a,grin,thought,1
grin,thought,Alice,1
Alice,but,a,1
but,a,grin,1
a,grin,without,1
grin,without,a,1
without,a,cat,1
a,cat,Its,1
cat,Its,the,1
Its,the,most,1
the,most,curious,1
most,curious,thing,1
curious,thing,I,1
I,ever,saw,1
ever,saw,in,1
saw,in,my,1
in,my,life,1
my,life,She,1
life,She,had,1
She,had,not,1
not,gone,much,1
gone,much,farther,1
much,farther,before,1
farther,before,she,1
before,she,came,1
she,came,in,1
came,in,sight,1
in,sight,of,1
sight,of,the,1
the,house,of,1
house,of,the,1
March,Hare,she,1
Hare,she,thought,1
the,right,house,1
right,house,because,1
house,because,the,1
because,the,chimneys,1
the,chimneys,were,1
chimneys,were,shaped,1
were,shaped,like,1
shaped,like,ears,1
like,ears,and,1
ears,and,the,1
and,the,roof,1
the,roof,was,1
roof,was,thatched,1
was,thatched,with,1
thatched,with,fur,1
with,fur,It,1
fur,It,was,1
was,so,large,1
so,large,a,1
large,a,house,1
a,house,that,1
house,that,she,1
like,to,go,1
to,go,nearer,1
go,nearer,till,1
nearer,till,she,1
she,had,nibbled,1
had,nibbled,some,1
nibbled,some,more,1
some,more,of,1
more,of,the,1
lefthand,bit,of,1
bit,of,mushroom,1
of,mushroom,and,1
mushroom,and,raised,1
and,raised,herself,1
raised,herself,to,1
herself,to,about,1
to,about,two,1
feet,high,even,1
high,even,then,1
even,then,she,1
she,walked,up,1
walked,up,towards,1
up,towards,it,1
towards,it,rather,1
it,rather,timidly,1
rather,timidly,saying,1
timidly,saying,to,1
to,herself,Suppose,1
herself,Suppose,it,1
Suppose,it,should,1
it,should,be,1
should,be,raving,1
be,raving,mad,1
raving,mad,after,1
mad,after,all,1
all,I,almost,1
almost,wish,Id,1
wish,Id,gone,1
Id,gone,to,1
gone,to,see,1
see,the,Hatter,1
the,Hatter,instead,1
Hatter,instead,CHAPTER,1
instead,CHAPTER,VII,1
CHAPTER,VII,A,1
VII,A,Mad,1
A,Mad,TeaParty,1
Mad,TeaParty,There,1
TeaParty,There,was,1
a,table,set,1
table,set,out,1
set,out,under,1
out,under,a,1
under,a,tree,1
a,tree,in,1
tree,in,front,1
front,of,the,1
house,and,the,1
Hare,and,the,1
the,Hatter,were,1
Hatter,were,having,1
were,having,tea,1
having,tea,at,1
tea,at,it,1
at,it,a,1
it,a,Dormouse,1
a,Dormouse,was,1
Dormouse,was,sitting,1
was,sitting,between,1
sitting,between,them,1
between,them,fast,1
them,fast,asleep,1
fast,asleep,and,1
asleep,and,the,1
the,other,two,1
other,two,were,1
two,were,using,1
were,using,it,1
using,it,as,1
it,as,a,1
as,a,cushion,1
a,cushion,resting,1
cushion,resting,their,1
resting,their,elbows,1
their,elbows,on,1
elbows,on,it,1
on,it,and,1
it,and,talking,1
and,talking,over,1
talking,over,its,1
over,its,head,1
its,head,Very,1
head,Very,uncomfortable,1
Very,uncomfortable,for,1
uncomfortable,for,the,1
for,the,Dormouse,1
the,Dormouse,thought,1
Dormouse,thought,Alice,1
thought,Alice,only,1
Alice,only,as,1
only,as,its,1
as,its,asleep,1
its,asleep,I,1
asleep,I,suppose,1
I,suppose,it,1
suppose,it,doesnt,1
it,doesnt,mind,1
doesnt,mind,The,1
mind,The,table,1
The,table,was,1
table,was,a,1
a,large,one,1
large,one,but,1
one,but,the,1
but,the,three,1
the,three,were,1
three,were,all,1
were,all,crowded,1
all,crowded,together,1
crowded,together,at,1
together,at,one,1
at,one,corner,1
one,corner,of,1
corner,of,it,1
of,it,No,1
it,No,room,1
No,room,No,1
room,No,room,1
No,room,they,1
room,they,cried,1
they,cried,out,1
cried,out,when,1
out,when,they,1
when,they,saw,1
they,saw,Alice,1
saw,Alice,coming,1
Alice,coming,Theres,1
coming,Theres,PLENTY,1
Theres,PLENTY,of,1
PLENTY,of,room,1
of,room,said,1
room,said,Alice,1
Alice,indignantly,and,1
indignantly,and,she,1
and,she,sat,1
sat,down,in,1
a,large,armchair,1
large,armchair,at,1
armchair,at,one,1
at,one,end,1
one,end,of,1
the,table,Have,1
table,Have,some,1
Have,some,wine,1
some,wine,the,1
wine,the,March,1
Hare,said,in,1
said,in,an,1
in,an,encouraging,1
an,encouraging,tone,1
encouraging,tone,Alice,1
tone,Alice,looked,1
round,the,table,1
table,but,there,1
but,there,was,1
on,it,but,1
it,but,tea,1
but,tea,I,1
tea,I,dont,1
dont,see,any,1
see,any,wine,1
any,wine,she,1
wine,she,remarked,1
she,remarked,There,1
remarked,There,isnt,1
There,isnt,any,1
isnt,any,said,1
any,said,the,1
March,Hare,Then,1
Hare,Then,it,1
Then,it,wasnt,1
it,wasnt,very,1
you,to,offer,1
to,offer,it,1
offer,it,said,1
said,Alice,angrily,1
Alice,angrily,It,1
angrily,It,wasnt,1
It,wasnt,very,1
you,to,sit,1
to,sit,down,1
sit,down,without,1
down,without,being,1
without,being,invited,1
being,invited,said,1
invited,said,the,1
March,Hare,I,1
Hare,I,didnt,1
didnt,know,it,1
know,it,was,1
it,was,YOUR,1
was,YOUR,table,1
YOUR,table,said,1
table,said,Alice,1
Alice,its,laid,1
its,laid,for,1
laid,for,a,1
for,a,great,1
great,many,more,1
many,more,than,1
more,than,three,1
than,three,Your,1
three,Your,hair,1
Your,hair,wants,1
hair,wants,cutting,1
wants,cutting,said,1
cutting,said,the,1
Hatter,He,had,1
He,had,been,1
been,looking,at,1
looking,at,Alice,1
at,Alice,for,1
Alice,for,some,1
some,time,with,1
time,with,great,1
great,curiosity,and,1
curiosity,and,this,1
this,was,his,1
was,his,first,1
his,first,speech,1
first,speech,You,1
speech,You,should,1
You,should,learn,1
should,learn,not,1
learn,not,to,1
not,to,make,1
to,make,personal,1
make,personal,remarks,1
personal,remarks,Alice,1
remarks,Alice,said,1
Alice,said,with,1
said,with,some,1
with,some,severity,1
some,severity,its,1
severity,its,very,1
its,very,rude,1
very,rude,The,1
rude,The,Hatter,1
The,Hatter,opened,1
Hatter,opened,his,1
his,eyes,very,1
eyes,very,wide,1
very,wide,on,1
wide,on,hearing,1
on,hearing,this,1
hearing,this,but,1
this,but,all,1
but,all,he,1
all,he,SAID,1
he,SAID,was,1
SAID,was,Why,1
was,Why,is,1
Why,is,a,1
is,a,raven,1
a,raven,like,1
raven,like,a,1
like,a,writingdesk,1
a,writingdesk,Come,1
writingdesk,Come,we,1
Come,we,shall,1
we,shall,have,1
shall,have,some,1
have,some,fun,1
some,fun,now,1
fun,now,thought,1
Im,glad,theyve,1
glad,theyve,begun,1
theyve,begun,asking,1
begun,asking,riddlesI,1
asking,riddlesI,believe,1
riddlesI,believe,I,1
believe,I,can,1
I,can,guess,1
can,guess,that,1
guess,that,she,1
that,she,added,1
she,added,aloud,1
added,aloud,Do,1
aloud,Do,you,1
Do,you,mean,1
you,mean,that,1
mean,that,you,1
that,you,think,1
think,you,can,1
can,find,out,1
find,out,the,1
out,the,answer,1
answer,to,it,1
to,it,said,1
March,Hare,Exactly,1
Hare,Exactly,so,1
Alice,Then,you,1
Then,you,should,1
you,should,say,1
should,say,what,1
say,what,you,1
you,mean,the,1
mean,the,March,1
Hare,went,on,1
on,I,do,1
I,do,Alice,1
do,Alice,hastily,1
hastily,replied,at,1
replied,at,leastat,1
at,leastat,least,1
leastat,least,I,1
least,I,mean,1
what,I,saythats,1
I,saythats,the,1
saythats,the,same,1
same,thing,you,1
thing,you,know,1
know,Not,the,1
Not,the,same,1
same,thing,a,1
thing,a,bit,1
Hatter,You,might,1
well,say,that,1
say,that,I,1
that,I,see,1
I,see,what,1
see,what,I,1
what,I,eat,1
I,eat,is,1
eat,is,the,1
as,I,eat,1
I,eat,what,1
eat,what,I,1
what,I,see,1
I,see,You,1
see,You,might,1
added,the,March,1
March,Hare,that,1
Hare,that,I,1
that,I,like,1
I,like,what,1
like,what,I,1
what,I,get,1
I,get,is,1
get,is,the,1
I,get,what,1
get,what,I,1
what,I,like,1
I,like,You,1
like,You,might,1
Dormouse,who,seemed,1
to,be,talking,1
be,talking,in,1
talking,in,his,1
in,his,sleep,1
his,sleep,that,1
sleep,that,I,1
that,I,breathe,1
I,breathe,when,1
breathe,when,I,1
when,I,sleep,1
I,sleep,is,1
sleep,is,the,1
as,I,sleep,1
I,sleep,when,1
sleep,when,I,1
when,I,breathe,1
I,breathe,It,1
breathe,It,IS,1
It,IS,the,1
IS,the,same,1
same,thing,with,1
thing,with,you,1
Hatter,and,here,1
and,here,the,1
here,the,conversation,1
the,conversation,dropped,1
conversation,dropped,and,1
dropped,and,the,1
and,the,party,1
the,party,sat,1
party,sat,silent,1
sat,silent,for,1
a,minute,while,1
minute,while,Alice,1
while,Alice,thought,1
Alice,thought,over,1
thought,over,all,1
over,all,she,1
could,remember,about,1
remember,about,ravens,1
about,ravens,and,1
ravens,and,writingdesks,1
and,writingdesks,which,1
writingdesks,which,wasnt,1
which,wasnt,much,1
wasnt,much,The,1
much,The,Hatter,1
first,to,break,1
to,break,the,1
break,the,silence,1
the,silence,What,1
silence,What,day,1
What,day,of,1
the,month,is,1
month,is,it,1
is,it,he,1
he,said,turning,1
to,Alice,he,1
Alice,he,had,1
he,had,taken,1
had,taken,his,1
taken,his,watch,1
his,watch,out,1
watch,out,of,1
of,his,pocket,1
his,pocket,and,1
pocket,and,was,1
and,was,looking,1
looking,at,it,1
at,it,uneasily,1
it,uneasily,shaking,1
uneasily,shaking,it,1
shaking,it,every,1
it,every,now,1
and,then,and,1
then,and,holding,1
and,holding,it,1
holding,it,to,1
it,to,his,1
to,his,ear,1
his,ear,Alice,1
ear,Alice,considered,1
Alice,considered,a,1
a,little,and,1
little,and,then,1
then,said,The,1
said,The,fourth,1
The,fourth,Two,1
fourth,Two,days,1
Two,days,wrong,1
days,wrong,sighed,1
wrong,sighed,the,1
sighed,the,Hatter,1
Hatter,I,told,1
I,told,you,1
told,you,butter,1
you,butter,wouldnt,1
butter,wouldnt,suit,1
wouldnt,suit,the,1
suit,the,works,1
the,works,he,1
works,he,added,1
he,added,looking,1
added,looking,angrily,1
looking,angrily,at,1
angrily,at,the,1
March,Hare,It,1
Hare,It,was,1
BEST,butter,the,1
butter,the,March,1
March,Hare,meekly,1
Hare,meekly,replied,1
meekly,replied,Yes,1
replied,Yes,but,1
Yes,but,some,1
but,some,crumbs,1
some,crumbs,must,1
crumbs,must,have,1
must,have,got,1
have,got,in,1
got,in,as,1
in,as,well,1
as,well,the,1
well,the,Hatter,1
the,Hatter,grumbled,1
Hatter,grumbled,you,1
grumbled,you,shouldnt,1
you,shouldnt,have,1
shouldnt,have,put,1
have,put,it,1
put,it,in,1
it,in,with,1
in,with,the,1
with,the,breadknife,1
the,breadknife,The,1
breadknife,The,March,1
The,March,Hare,1
March,Hare,took,1
Hare,took,the,1
took,the,watch,1
the,watch,and,1
watch,and,looked,1
at,it,gloomily,1
it,gloomily,then,1
gloomily,then,he,1
then,he,dipped,1
he,dipped,it,1
dipped,it,into,1
it,into,his,1
into,his,cup,1
his,cup,of,1
cup,of,tea,1
of,tea,and,1
tea,and,looked,1
at,it,again,1
again,but,he,1
but,he,could,1
he,could,think,1
of,nothing,better,1
nothing,better,to,1
better,to,say,1
to,say,than,1
say,than,his,1
than,his,first,1
his,first,remark,1
first,remark,It,1
remark,It,was,1
BEST,butter,you,1
butter,you,know,1
know,Alice,had,1
been,looking,over,1
looking,over,his,1
his,shoulder,with,1
shoulder,with,some,1
with,some,curiosity,1
some,curiosity,What,1
curiosity,What,a,1
What,a,funny,1
a,funny,watch,1
funny,watch,she,1
watch,she,remarked,1
she,remarked,It,1
remarked,It,tells,1
It,tells,the,1
tells,the,day,1
the,day,of,1
the,month,and,1
month,and,doesnt,1
and,doesnt,tell,1
doesnt,tell,what,1
tell,what,oclock,1
what,oclock,it,1
oclock,it,is,1
it,is,Why,1
is,Why,should,1
Why,should,it,1
should,it,muttered,1
it,muttered,the,1
muttered,the,Hatter,1
the,Hatter,Does,1
Hatter,Does,YOUR,1
Does,YOUR,watch,1
YOUR,watch,tell,1
watch,tell,you,1
tell,you,what,1
you,what,year,1
what,year,it,1
year,it,is,1
it,is,Of,1
is,Of,course,1
course,not,Alice,1
not,Alice,replied,1
replied,very,readily,1
very,readily,but,1
readily,but,thats,1
but,thats,because,1
thats,because,it,1
because,it,stays,1
it,stays,the,1
stays,the,same,1
the,same,year,1
same,year,for,1
year,for,such,1
for,such,a,1
such,a,long,1
long,time,together,1
time,together,Which,1
together,Which,is,1
Which,is,just,1
is,just,the,1
just,the,case,1
the,case,with,1
case,with,MINE,1
with,MINE,said,1
MINE,said,the,1
the,Hatter,Alice,1
Hatter,Alice,felt,1
Alice,felt,dreadfully,1
felt,dreadfully,puzzled,1
dreadfully,puzzled,The,1
puzzled,The,Hatters,1
The,Hatters,remark,1
Hatters,remark,seemed,1
remark,seemed,to,1
to,have,no,1
have,no,sort,1
sort,of,meaning,1
it,and,yet,1
and,yet,it,1
yet,it,was,1
was,certainly,English,1
certainly,English,I,1
English,I,dont,1
I,dont,quite,1
dont,quite,understand,1
quite,understand,you,1
understand,you,she,1
you,she,said,1
she,said,as,1
said,as,politely,1
as,politely,as,1
politely,as,she,1
could,The,Dormouse,1
The,Dormouse,is,1
Dormouse,is,asleep,1
is,asleep,again,1
asleep,again,said,1
again,said,the,1
Hatter,and,he,1
and,he,poured,1
he,poured,a,1
poured,a,little,1
a,little,hot,1
little,hot,tea,1
hot,tea,upon,1
tea,upon,its,1
upon,its,nose,1
its,nose,The,1
nose,The,Dormouse,1
The,Dormouse,shook,1
Dormouse,shook,its,1
impatiently,and,said,1
and,said,without,1
said,without,opening,1
without,opening,its,1
opening,its,eyes,1
its,eyes,Of,1
eyes,Of,course,1
Of,course,of,1
course,of,course,1
of,course,just,1
course,just,what,1
just,what,I,1
what,I,was,1
going,to,remark,1
to,remark,myself,1
remark,myself,Have,1
myself,Have,you,1
Have,you,guessed,1
you,guessed,the,1
guessed,the,riddle,1
the,riddle,yet,1
riddle,yet,the,1
yet,the,Hatter,1
Hatter,said,turning,1
to,Alice,again,1
Alice,again,No,1
again,No,I,1
No,I,give,1
I,give,it,1
give,it,up,1
it,up,Alice,1
up,Alice,replied,1
Alice,replied,whats,1
replied,whats,the,1
whats,the,answer,1
the,answer,I,1
answer,I,havent,1
havent,the,slightest,1
the,slightest,idea,1
slightest,idea,said,1
idea,said,the,1
the,Hatter,Nor,1
Hatter,Nor,I,1
Nor,I,said,1
Hare,Alice,sighed,1
Alice,sighed,wearily,1
sighed,wearily,I,1
wearily,I,think,1
think,you,might,1
you,might,do,1
might,do,something,1
do,something,better,1
something,better,with,1
better,with,the,1
with,the,time,1
she,said,than,1
said,than,waste,1
than,waste,it,1
waste,it,in,1
it,in,asking,1
in,asking,riddles,1
asking,riddles,that,1
riddles,that,have,1
that,have,no,1
have,no,answers,1
no,answers,If,1
answers,If,you,1
If,you,knew,1
you,knew,Time,1
knew,Time,as,1
Time,as,well,1
well,as,I,1
as,I,do,1
do,said,the,1
the,Hatter,you,1
Hatter,you,wouldnt,1
you,wouldnt,talk,1
wouldnt,talk,about,1
talk,about,wasting,1
about,wasting,IT,1
wasting,IT,Its,1
IT,Its,HIM,1
Its,HIM,I,1
HIM,I,dont,1
know,what,you,1
you,mean,said,1
mean,said,Alice,1
Of,course,you,1
course,you,dont,1
you,dont,the,1
dont,the,Hatter,1
Hatter,said,tossing,1
said,tossing,his,1
tossing,his,head,1
his,head,contemptuously,1
head,contemptuously,I,1
contemptuously,I,dare,1
dare,say,you,1
say,you,never,1
you,never,even,1
never,even,spoke,1
even,spoke,to,1
spoke,to,Time,1
to,Time,Perhaps,1
Time,Perhaps,not,1
Perhaps,not,Alice,1
not,Alice,cautiously,1
cautiously,replied,but,1
replied,but,I,1
but,I,know,1
know,I,have,1
I,have,to,1
have,to,beat,1
to,beat,time,1
beat,time,when,1
time,when,I,1
when,I,learn,1
I,learn,music,1
learn,music,Ah,1
music,Ah,that,1
Ah,that,accounts,1
that,accounts,for,1
accounts,for,it,1
for,it,said,1
Hatter,He,wont,1
He,wont,stand,1
wont,stand,beating,1
stand,beating,Now,1
beating,Now,if,1
Now,if,you,1
you,only,kept,1
only,kept,on,1
kept,on,good,1
on,good,terms,1
good,terms,with,1
terms,with,him,1
with,him,hed,1
him,hed,do,1
hed,do,almost,1
do,almost,anything,1
almost,anything,you,1
anything,you,liked,1
you,liked,with,1
liked,with,the,1
with,the,clock,1
the,clock,For,1
clock,For,instance,1
For,instance,suppose,1
instance,suppose,it,1
suppose,it,were,1
it,were,nine,1
were,nine,oclock,1
nine,oclock,in,1
oclock,in,the,1
in,the,morning,1
the,morning,just,1
morning,just,time,1
just,time,to,1
time,to,begin,1
to,begin,lessons,1
begin,lessons,youd,1
lessons,youd,only,1
youd,only,have,1
only,have,to,1
have,to,whisper,1
to,whisper,a,1
whisper,a,hint,1
a,hint,to,1
hint,to,Time,1
to,Time,and,1
Time,and,round,1
and,round,goes,1
round,goes,the,1
goes,the,clock,1
the,clock,in,1
clock,in,a,1
in,a,twinkling,1
a,twinkling,Halfpast,1
twinkling,Halfpast,one,1
Halfpast,one,time,1
one,time,for,1
time,for,dinner,1
for,dinner,I,1
dinner,I,only,1
only,wish,it,1
wish,it,was,1
was,the,March,1
said,to,itself,1
to,itself,in,1
itself,in,a,1
a,whisper,That,1
whisper,That,would,1
That,would,be,1
would,be,grand,1
be,grand,certainly,1
grand,certainly,said,1
said,Alice,thoughtfully,1
Alice,thoughtfully,but,1
thoughtfully,but,thenI,1
but,thenI,shouldnt,1
thenI,shouldnt,be,1
shouldnt,be,hungry,1
be,hungry,for,1
hungry,for,it,1
for,it,you,1
know,Not,at,1
Not,at,first,1
at,first,perhaps,1
first,perhaps,said,1
perhaps,said,the,1
the,Hatter,but,1
Hatter,but,you,1
but,you,could,1
you,could,keep,1
could,keep,it,1
keep,it,to,1
it,to,halfpast,1
to,halfpast,one,1
halfpast,one,as,1
one,as,long,1
long,as,you,1
as,you,liked,1
you,liked,Is,1
liked,Is,that,1
that,the,way,1
the,way,YOU,1
way,YOU,manage,1
YOU,manage,Alice,1
manage,Alice,asked,1
Alice,asked,The,1
asked,The,Hatter,1
The,Hatter,shook,1
Hatter,shook,his,1
his,head,mournfully,1
head,mournfully,Not,1
mournfully,Not,I,1
Not,I,he,1
I,he,replied,1
he,replied,We,1
replied,We,quarrelled,1
We,quarrelled,last,1
quarrelled,last,Marchjust,1
last,Marchjust,before,1
Marchjust,before,HE,1
before,HE,went,1
HE,went,mad,1
went,mad,you,1
mad,you,know,1
you,know,pointing,1
know,pointing,with,1
pointing,with,his,1
with,his,tea,1
his,tea,spoon,1
tea,spoon,at,1
spoon,at,the,1
March,Hare,it,1
Hare,it,was,1
was,at,the,1
at,the,great,1
the,great,concert,1
great,concert,given,1
concert,given,by,1
given,by,the,1
by,the,Queen,1
the,Queen,of,1
of,Hearts,and,1
Hearts,and,I,1
and,I,had,1
I,had,to,1
had,to,sing,1
to,sing,Twinkle,1
sing,Twinkle,twinkle,1
Twinkle,twinkle,little,1
twinkle,little,bat,1
little,bat,How,1
bat,How,I,1
How,I,wonder,1
wonder,what,youre,1
what,youre,at,1
youre,at,You,1
at,You,know,1
You,know,the,1
know,the,song,1
the,song,perhaps,1
song,perhaps,Ive,1
perhaps,Ive,heard,1
Ive,heard,something,1
heard,something,like,1
something,like,it,1
like,it,said,1
said,Alice,It,1
Alice,It,goes,1
It,goes,on,1
goes,on,you,1
on,you,know,1
know,the,Hatter,1
the,Hatter,continued,1
Hatter,continued,in,1
continued,in,this,1
this,way,Up,1
way,Up,above,1
Up,above,the,1
above,the,world,1
the,world,you,1
world,you,fly,1
you,fly,Like,1
fly,Like,a,1
Like,a,teatray,1
a,teatray,in,1
teatray,in,the,1
in,the,sky,1
the,sky,Twinkle,1
sky,Twinkle,twinkle,1
Twinkle,twinkle,Here,1
twinkle,Here,the,1
Here,the,Dormouse,1
the,Dormouse,shook,1
Dormouse,shook,itself,1
shook,itself,and,1
itself,and,began,1
and,began,singing,1
began,singing,in,1
singing,in,its,1
in,its,sleep,1
its,sleep,Twinkle,1
sleep,Twinkle,twinkle,1
Twinkle,twinkle,twinkle,1
twinkle,twinkle,twinkle,1
twinkle,twinkle,and,1
twinkle,and,went,1
went,on,so,1
on,so,long,1
so,long,that,1
long,that,they,1
that,they,had,1
had,to,pinch,1
to,pinch,it,1
pinch,it,to,1
it,to,make,1
to,make,it,1
make,it,stop,1
it,stop,Well,1
stop,Well,Id,1
Well,Id,hardly,1
Id,hardly,finished,1
hardly,finished,the,1
finished,the,first,1
the,first,verse,1
first,verse,said,1
verse,said,the,1
the,Hatter,when,1
Hatter,when,the,1
when,the,Queen,1
the,Queen,jumped,1
Queen,jumped,up,1
up,and,bawled,1
and,bawled,out,1
bawled,out,Hes,1
out,Hes,murdering,1
Hes,murdering,the,1
murdering,the,time,1
the,time,Off,1
time,Off,with,1
his,head,How,1
head,How,dreadfully,1
How,dreadfully,savage,1
dreadfully,savage,exclaimed,1
savage,exclaimed,Alice,1
exclaimed,Alice,And,1
Alice,And,ever,1
And,ever,since,1
ever,since,that,1
since,that,the,1
that,the,Hatter,1
in,a,mournful,1
a,mournful,tone,1
mournful,tone,he,1
tone,he,wont,1
he,wont,do,1
wont,do,a,1
do,a,thing,1
a,thing,I,1
thing,I,ask,1
I,ask,Its,1
ask,Its,always,1
Its,always,six,1
always,six,oclock,1
six,oclock,now,1
oclock,now,A,1
now,A,bright,1
A,bright,idea,1
came,into,Alices,1
into,Alices,head,1
Alices,head,Is,1
head,Is,that,1
that,the,reason,1
the,reason,so,1
reason,so,many,1
so,many,teathings,1
many,teathings,are,1
teathings,are,put,1
are,put,out,1
put,out,here,1
out,here,she,1
here,she,asked,1
she,asked,Yes,1
asked,Yes,thats,1
Yes,thats,it,1
thats,it,said,1
Hatter,with,a,1
a,sigh,its,1
sigh,its,always,1
its,always,teatime,1
always,teatime,and,1
teatime,and,weve,1
and,weve,no,1
weve,no,time,1
time,to,wash,1
to,wash,the,1
wash,the,things,1
the,things,between,1
things,between,whiles,1
between,whiles,Then,1
whiles,Then,you,1
Then,you,keep,1
you,keep,moving,1
keep,moving,round,1
moving,round,I,1
round,I,suppose,1
I,suppose,said,1
suppose,said,Alice,1
said,Alice,Exactly,1
Alice,Exactly,so,1
the,Hatter,as,1
Hatter,as,the,1
as,the,things,1
the,things,get,1
things,get,used,1
get,used,up,1
used,up,But,1
up,But,what,1
But,what,happens,1
what,happens,when,1
happens,when,you,1
when,you,come,1
the,beginning,again,1
beginning,again,Alice,1
again,Alice,ventured,1
ventured,to,ask,1
to,ask,Suppose,1
ask,Suppose,we,1
Suppose,we,change,1
we,change,the,1
the,subject,the,1
subject,the,March,1
Hare,interrupted,yawning,1
interrupted,yawning,Im,1
yawning,Im,getting,1
Im,getting,tired,1
getting,tired,of,1
tired,of,this,1
of,this,I,1
this,I,vote,1
I,vote,the,1
vote,the,young,1
the,young,lady,1
young,lady,tells,1
lady,tells,us,1
tells,us,a,1
a,story,Im,1
story,Im,afraid,1
afraid,I,dont,1
dont,know,one,1
know,one,said,1
Alice,rather,alarmed,1
rather,alarmed,at,1
alarmed,at,the,1
at,the,proposal,1
the,proposal,Then,1
proposal,Then,the,1
Then,the,Dormouse,1
the,Dormouse,shall,1
Dormouse,shall,they,1
shall,they,both,1
they,both,cried,1
both,cried,Wake,1
cried,Wake,up,1
Wake,up,Dormouse,1
up,Dormouse,And,1
Dormouse,And,they,1
And,they,pinched,1
they,pinched,it,1
pinched,it,on,1
it,on,both,1
both,sides,at,1
sides,at,once,1
at,once,The,1
once,The,Dormouse,1
The,Dormouse,slowly,1
Dormouse,slowly,opened,1
slowly,opened,his,1
his,eyes,I,1
eyes,I,wasnt,1
I,wasnt,asleep,1
wasnt,asleep,he,1
asleep,he,said,1
a,hoarse,feeble,1
hoarse,feeble,voice,1
feeble,voice,I,1
voice,I,heard,1
I,heard,every,1
heard,every,word,1
every,word,you,1
